epoch,acc,loss,lr
0,0.41492000222206116,1.6400249004364014,0.001
1,0.5612800121307373,1.2662420272827148,0.001
2,0.6207200288772583,1.107396125793457,0.001
3,0.6535800099372864,1.0108189582824707,0.001
4,0.6830599904060364,0.929762601852417,0.001
5,0.7061399817466736,0.8656504154205322,0.001
6,0.7206400036811829,0.8139793872833252,0.001
7,0.7375400066375732,0.7659465074539185,0.001
8,0.7502800226211548,0.7220854759216309,0.001
9,0.7653200030326843,0.6840548515319824,0.001
10,0.7749199867248535,0.6488213539123535,0.001
11,0.787339985370636,0.6163882613182068,0.001
12,0.7991200089454651,0.5837593674659729,0.001
13,0.8077999949455261,0.5549703240394592,0.001
14,0.8173999786376953,0.5262647867202759,0.001
15,0.8239799737930298,0.502464771270752,0.001
16,0.8327599763870239,0.47602155804634094,0.001
17,0.8433200120925903,0.4513658285140991,0.001
18,0.8472399711608887,0.4310091435909271,0.001
19,0.8561599850654602,0.40870437026023865,0.001
20,0.8637999892234802,0.38691604137420654,0.001
21,0.8722400069236755,0.3656596541404724,0.001
22,0.8761199712753296,0.3511127233505249,0.001
23,0.881380021572113,0.3362577259540558,0.001
24,0.8880400061607361,0.3141342103481293,0.001
25,0.89410001039505,0.29843008518218994,0.001
26,0.8978599905967712,0.28657063841819763,0.001
27,0.9041799902915955,0.2696889340877533,0.001
28,0.909500002861023,0.2563849091529846,0.001
29,0.9105799794197083,0.24761873483657837,0.001
30,0.9143400192260742,0.2357710599899292,0.001
31,0.9203400015830994,0.22115002572536469,0.001
32,0.9240999817848206,0.2154868096113205,0.001
33,0.9255399703979492,0.2070070058107376,0.001
34,0.9311599731445312,0.1944206804037094,0.001
35,0.9301199913024902,0.19358514249324799,0.001
36,0.9348199963569641,0.17972928285598755,0.001
37,0.9356600046157837,0.17840895056724548,0.001
38,0.9406399726867676,0.1675272285938263,0.001
39,0.9416999816894531,0.16278156638145447,0.001
40,0.9452599883079529,0.15428957343101501,0.001
41,0.9429600238800049,0.15492430329322815,0.001
42,0.9470199942588806,0.1462949812412262,0.001
43,0.9470999836921692,0.14851804077625275,0.001
44,0.95169997215271,0.1332918405532837,0.001
45,0.9505400061607361,0.13495194911956787,0.001
46,0.9485800266265869,0.1424025297164917,0.001
47,0.9543200135231018,0.12723314762115479,0.001
48,0.9571800231933594,0.12136698514223099,0.001
49,0.9561200141906738,0.12399163097143173,0.001
